age;player_height;player_weight;college;country;draft_year;draft_round
28;210.82;117.93392;Arizona;USA;1991;1
29;187.96;82.553744;Virginia Tech;USA;1990;2
28;205.74;102.0582;Syracuse;USA;1991;1
34;213.36;111.13004;St. John's (NY);USA;1985;1
32;213.36;113.398;Creighton;USA;1985;1
22;205.74;108.86208;Virginia Union;USA;Undrafted;Undrafted
24;205.74;108.86208;Arizona;USA;1996;2
29;187.96;79.3786;Iowa;USA;1989;1
32;180.34;81.64656;Southern;USA;Undrafted;Undrafted
25;203.2;104.32616;Southern Illinois;USA;Undrafted;Undrafted
32;220.98;132.448864;None;Lithuania;1986;1
31;193.04;103.418976;East Carolina;USA;1989;1
30;210.82;113.398;Indiana;USA;1988;2
37;203.2;102.0582;Maryland;USA;1981;1
33;195.58;92.98636;Virginia Tech;USA;1986;1
34;213.36;115.66596;Houston;Nigeria;1984;1
24;218.44;127.00576;Kansas;USA;1995;1
25;198.12;95.25432;Louisville;USA;1994;1
26;193.04;82.553744;Indiana;USA;1993;1
28;210.82;113.398;Texas-El Paso;USA;1990;2
33;215.9;120.20188;Kansas;USA;1986;2
29;185.42;81.64656;Nevada-Las Vegas;USA;1991;1
33;208.28;113.398;Houston;USA;1987;1
31;205.74;112.490816;Eastern Michigan;USA;1988;2
24;203.2;102.0582;Duke;USA;1994;1
24;200.66;106.59412;Purdue;USA;1994;1
31;205.74;102.0582;Oklahoma;USA;1988;1
30;203.2;99.79024;Michigan;USA;1989;1
33;198.12;102.0582;Tennessee-Chattanooga;USA;1985;2
23;213.36;119.748288;UCLA;USA;1995;1
30;203.2;102.0582;Florida State;USA;1989;1
26;203.2;103.418976;North Carolina;USA;1993;1
28;190.5;86.18248;Northwestern Oklahoma;USA;1994;2
22;203.2;113.398;Ohio;USA;1995;1
28;193.04;86.18248;Oregon State;USA;1990;1
32;190.5;83.91452;Michigan;USA;1988;1
36;208.28;98.883056;Brigham Young;USA;1982;2
24;193.04;92.079176;Iowa State;USA;1995;2
25;185.42;83.91452;Western Carolina;USA;1995;2
